Date,Close_AMZN,Close_GOOGL,Close_META,Close_MSFT,Close_NVDA,Close_SPY,Close_TSLA,High_AMZN,High_GOOGL,High_META,High_MSFT,High_NVDA,High_SPY,High_TSLA,Low_AMZN,Low_GOOGL,Low_META,Low_MSFT,Low_NVDA,Low_SPY,Low_TSLA,Open_AMZN,Open_GOOGL,Open_META,Open_MSFT,Open_NVDA,Open_SPY,Open_TSLA,Volume_AMZN,Volume_GOOGL,Volume_META,Volume_MSFT,Volume_NVDA,Volume_SPY,Volume_TSLA
2024-02-13,168.63999938964844,143.9502410888672,456.537353515625,398.575927734375,72.08394622802734,480.8471984863281,184.02000427246094,170.9499969482422,145.46769798615009,464.2468731870275,402.2544562391534,73.40513741451034,483.77659211196044,187.25999450683594,165.75,142.51213022242555,451.54651991731083,395.7017779806008,69.57748237910234,477.5772025602381,182.11000061035156,167.72999572753906,143.73204328748068,453.3126590561984,397.2222244548659,70.35700477469595,481.28515815868167,183.99000549316406,56345100,27837700,20916600,27824900,602580000,113099200,86759500
2024-02-14,170.97999572753906,144.7436981201172,469.5948486328125,402.42822265625,73.85486602783203,485.2170104980469,188.7100067138672,171.2100067138672,145.31894554055629,470.4183725927847,402.7721928081846,74.19065934700839,485.703619202311,188.88999938964844,168.27999877929688,142.90885694916992,462.4608304684062,397.5930862054174,71.89406636072601,481.1586808363787,183.35000610351562,169.2100067138672,144.88254990203635,464.2864998480657,401.03272774217567,73.15729429339046,483.48468469887587,185.3000030517578,42815500,22704200,16858400,20401200,504917000,68387800,81203000
2024-02-15,169.8000030517578,141.5996856689453,480.26116943359375,399.548828125,72.61361694335938,488.5648498535156,200.4499969482422,171.1699981689453,142.34353774622787,484.8154264310746,402.0745154056732,73.9298138493264,488.74976352545775,200.8800048828125,167.58999633789062,139.30862369230854,468.5431287071876,397.3179853079112,72.35577892403286,485.4408007855907,188.86000061035156,170.5800018310547,141.9666478509511,471.5793000388415,401.1015976558331,73.82388341395547,485.91769748176387,189.16000366210938,49855200,37590700,24212300,21825500,420122000,61683000,120831800
2024-02-16,169.50999450683594,139.36813354492188,469.63458251953125,397.0918884277344,72.5686264038086,486.1318054199219,199.9499969482422,170.4199981689453,142.01624520205476,475.23065188428683,401.24895188558764,74.35653464053262,489.40180144243595,203.1699981689453,167.1699981689453,138.9912436385364,465.556568581848,396.4825852713034,72.45669533307102,485.39215073377574,197.39999389648438,168.74000549316406,141.8178876690081,474.3872642070569,400.9246260176193,74.05471723562285,488.26315378111764,202.05999755859375,48107700,31468900,23324600,22296500,495327000,75532900,111346700
2024-02-20,167.0800018310547,139.9632110595703,468.0767822265625,395.8437805175781,69.4095687866211,483.45550537109375,193.75999450683594,168.7100067138672,140.915348438827,472.4722813616275,397.5144455402651,71.91203666406658,485.06130820828355,198.60000610351562,165.74000549316406,138.34658273143967,462.9271910394476,391.1462141740097,67.69261615478561,481.20737545898015,189.1300048828125,167.8300018310547,138.51518739713623,466.0625897590752,396.28600214507156,71.90303947909813,484.3897857981468,196.1300048828125,41980300,25144700,18015500,24307900,704833000,71736700,104545800
2024-02-21,168.58999633789062,141.38148498535156,464.8785095214844,395.2442626953125,67.43077850341797,483.89337158203125,194.77000427246094,170.22999572753906,141.5203367649503,465.8419792197742,395.3523813035853,68.84591377259603,484.0490899160434,199.44000244140625,167.13999938964844,139.5268035526364,458.68053638482485,390.3698079702168,66.20752727493073,480.34113433182057,191.9499969482422,168.94000244140625,140.29049590728383,463.3588130192424,393.2689462191207,67.96444884340175,482.1513339770058,193.36000061035156,44420100,23223300,12921800,18518900,673755000,59293400,103500300
2024-02-22,174.5800018310547,142.9088592529297,482.8565979003906,404.551025390625,78.49002838134766,493.9078063964844,197.41000366210938,174.8000030517578,143.8114034168082,486.69059163885595,405.7106689082216,78.52700071768926,494.871282071389,198.32000732421875,171.77000427246094,141.62944032274333,472.8543980185372,401.5241536683513,74.17466516688725,489.54778196517503,191.36000061035156,173.10000610351562,143.74196995787472,477.0062442785985,403.1162117164581,74.97917375100998,490.51128734031624,194.0,55392400,27191900,21625800,27009900,865100000,76402500,92739500
2024-02-23,174.99000549316406,142.77992248535156,480.7707214355469,403.2636413574219,78.76885986328125,494.24847412109375,191.97000122070312,175.75,143.4940065020115,491.0311497339842,408.68843759900807,82.34367088132632,496.4674086571224,197.57000732421875,173.6999969482422,142.25425313452644,479.1020412033738,401.91727194539897,77.52261988480991,493.51856105397593,191.5,174.27999877929688,142.4922912292185,484.76364134369345,408.5017417603321,80.74065432651751,495.6304262293698,195.30999755859375,59715200,19493800,18374300,16295900,829388000,61321800,78841900
2024-02-26,174.72999572753906,136.4423370361328,478.4961853027344,400.51190185546875,79.04369354248047,492.438232421875,199.39999389648438,176.3699951171875,141.2724124869367,482.8665820728748,405.05222425854834,80.59674521460998,495.12432178467435,201.77999877929688,174.25999450683594,136.26380463829744,477.3638772756252,400.3349831970826,78.45704646976243,492.311709415622,192.0,175.6999969482422,140.97486857968562,480.2145472288163,404.3642838981377,79.6513162598183,494.6863621015271,192.2899932861328,44368600,53641800,12101400,16193500,503973000,50386700,111747100
2024-02-27,173.5399932861328,137.7415771484375,483.77032470703125,400.45294189453125,78.65292358398438,493.35308837890625,199.72999572753906,174.6199951171875,138.10853934016288,483.98884449892734,401.27845233828214,79.43145470230726,493.57693907250416,205.60000610351562,172.86000061035156,135.96624166875657,476.68836166366407,396.88553712565647,77.11486980989693,491.23148157958644,198.25999450683594,174.0800018310547,136.88862613854664,476.7479552149011,400.9541264549498,79.33250852556469,493.1292673855463,204.0399932861328,31141700,33099200,10809600,14835800,391705000,48854500,108645400
