Date,AMZN,GOOGL,META,MSFT,NVDA,SPY,TSLA
2014-01-27,19.31399917602539,27.332408905029297,53.13303756713867,29.76104736328125,0.3644150197505951,144.592041015625,11.307999610900879
2014-01-28,19.721500396728516,27.872983932495117,54.710662841796875,29.95929527282715,0.3679508864879608,145.4530029296875,11.892000198364258
2014-01-29,19.209999084472656,27.4736328125,53.11319351196289,30.281435012817383,0.3644150197505951,144.05587768554688,11.682000160217285
2014-01-30,20.15049934387207,28.180253982543945,60.604408264160156,30.446643829345703,0.3705437481403351,145.58294677734375,12.189332962036133
2014-01-31,17.934499740600586,29.311542510986328,62.08280563354492,31.256128311157227,0.3700723946094513,144.7301025390625,12.093999862670898
2014-02-03,17.3075008392334,28.131608963012695,61.00129699707031,30.132755279541016,0.36512231826782227,141.47291564941406,11.807332992553711
2014-02-04,17.397499084472656,28.249006271362305,62.26140594482422,30.025367736816406,0.3672437071800232,142.4638671875,11.915332794189453
2014-02-05,17.322500228881836,28.37409782409668,61.70576095581055,29.58759117126465,0.3639439046382904,142.2852020263672,11.628000259399414
2014-02-06,17.72949981689453,28.79007911682129,61.675994873046875,29.884952545166016,0.36865803599357605,144.1614990234375,11.892000198364258
2014-02-07,18.054000854492188,29.22393035888672,63.81918716430664,30.19883918762207,0.37407952547073364,145.94851684570312,12.435333251953125
2014-02-10,18.043500900268555,29.11199378967285,63.05517578125,30.397077560424805,0.3752579987049103,146.21656799316406,13.104000091552734
2014-02-11,18.089500427246094,29.54013442993164,64.34505462646484,30.702699661254883,0.3830365240573883,147.81674194335938,13.107999801635742
2014-02-12,17.462499618530273,29.453514099121094,63.948158264160156,30.950504302978516,0.39670807123184204,147.88980102539062,13.021332740783691
2014-02-13,17.860000610351562,29.78138542175293,66.80574798583984,31.06613540649414,0.40920108556747437,148.65338134765625,13.308667182922363
2014-02-14,17.86750030517578,29.853361129760742,66.5676040649414,31.074403762817383,0.4221652150154114,149.47377014160156,13.215332984924316
2014-02-18,17.6825008392334,30.053903579711914,66.77597045898438,31.14097785949707,0.4219294488430023,149.65248107910156,13.579999923706055
2014-02-19,17.368999481201172,29.841941833496094,67.53005981445312,31.21587371826172,0.4275866746902466,148.66146850585938,12.909333229064941
2014-02-20,17.489999771118164,29.885875701904297,69.08782196044922,31.415605545043945,0.4426724314689636,149.53872680664062,13.998000144958496
2014-02-21,17.33799934387207,29.877933502197266,68.05592346191406,31.607009887695312,0.4393724203109741,149.36819458007812,13.973333358764648
2014-02-24,17.589000701904297,30.0943660736084,70.22888946533203,31.36567497253418,0.44573673605918884,150.1966552734375,14.510000228881836
2014-02-25,17.916000366210938,30.280263900756836,69.30611419677734,31.240840911865234,0.44372424483299255,150.1398162841797,16.53333282470703
2014-02-26,17.989999771118164,30.284482955932617,68.72071075439453,31.182594299316406,0.4430137574672699,150.14797973632812,16.866666793823242
2014-02-27,18.006500244140625,30.260658264160156,68.40321350097656,31.50714683532715,0.43804144859313965,150.93582153320312,16.836000442504883
2014-02-28,18.104999542236328,30.172298431396484,67.92694854736328,31.88163948059082,0.43520012497901917,151.31761169433594,16.320667266845703
2014-03-03,17.98900032043457,29.850629806518555,66.88512420654297,31.440570831298828,0.43306902050971985,150.25352478027344,16.70400047302246
2014-03-04,18.19499969482422,30.153932571411133,68.2643051147461,31.96485137939453,0.43756791949272156,152.36541748046875,16.98933219909668
2014-03-05,18.618499755859375,30.237077713012695,71.01272583007812,31.715208053588867,0.441356360912323,152.50352478027344,16.8439998626709
